Item Usinagem;Item Blank;Item Cliente;Material;Descrição do material;Qtd de MP;Centro;Portal;Torno;Qtd no WH;Centro;Portal;Torno;OP Firme;OP Planejada;Priorizar?
8.0124.05221.00;7.0124.11879.00;384-7731#00-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);8,0; 0,07 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05415.01;7.0124.11880.01;160-4103#01-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);5,3; 0,11 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05415.01;8.0124.05415.01;160-4103#01;IPP 6000242;PRIMER AMARELO DUST ON DUST PPG- 1E2732A;0,1; 0,11 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05415.02;7.0124.11881.02;160-4103#02-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);5,2; 0,15 ; -   ; -   ;0; -   ; -   ; -   ;4;0;0
8.0124.05433.01;7.0124.11882.01;189-3032#01-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);5,1; 0,11 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05630.00;7.0124.11883.00;356-2416#00-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,3; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05634.00;7.0124.11884.00;307-2887#00-CORTE;5.0101.00223;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;30,0; -   ; 0,19 ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05635.01;7.0124.11682.01;307-1967#01-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,1; 0,07 ; -   ; -   ;0; -   ; -   ; -   ;202;40;0
8.0124.05636.00;7.0124.11683.00;304-6573#00-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,5; -   ; -   ; -   ;0; -   ; -   ; -   ;7;0;0
8.0124.05905.01;IPP 6000262;1E1952A;6.0200.00592.00;CATALISADOR EPOXI  LT5731SDD.50 PPG;0,0; 0,75 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05905.01;IPP 6000262;1E1952A;6.0200.00448.00;CATALISADOR PU  LT0001SDD.50 PPG;0,1; 0,75 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.05905.01;7.0124.11684.01;6Y-1243#01-CORTE;5.0102.00332;CH 50,00x2000x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);38,8; 0,75 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.06540.02;8.0124.06540.02;514-4274#02;6.0113.00004.05;PORCA SOLDA M10 (1,5) CL 9 ZB (CONF. DES.);2,0; -   ; -   ; -   ;0; -   ; -   ; -   ;2;0;0
8.0124.06540.02;8.0124.06540.02;514-4274#02;6.0113.00021.02;PORCA SOLDA M8 (1,25) CL 9 ZB (CONF. DES.);3,0; -   ; -   ; -   ;0; -   ; -   ; -   ;2;0;0
8.0124.06700.Q02;IPP 6000262;1E1952A;6.0200.00592.00;CATALISADOR EPOXI  LT5731SDD.50 PPG;0,0; 1,51 ; -   ; -   ;0; -   ; -   ; -   ;82;32;0
8.0124.06700.Q02;IPP 6000262;1E1952A;6.0200.00448.00;CATALISADOR PU  LT0001SDD.50 PPG;0,1; 1,51 ; -   ; -   ;0; -   ; -   ; -   ;82;32;0
8.0124.06700.Q02;7.0124.11688.Q02;510-2275#Q02-CORTE;5.0199.00637;CH 45,00x2440x6000 CG PR OPTIM700QL;90,5; 1,51 ; -   ; -   ;0; -   ; -   ; -   ;82;32;0
8.0124.06782.01;7.0124.11690.01;507-7852#01-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);33,0; 0,09 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.06817.H01;7.0124.11885.H01;529-0134#H01-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,9; 0,04 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.06844.01;IPP 6000262;1E1952A;6.0200.00592.00;CATALISADOR EPOXI  LT5731SDD.50 PPG;0,0; 0,77 ; -   ; -   ;0; -   ; -   ; -   ;261;72;0
8.0124.06844.01;IPP 6000262;1E1952A;6.0200.00448.00;CATALISADOR PU  LT0001SDD.50 PPG;0,1; 0,77 ; -   ; -   ;0; -   ; -   ; -   ;261;72;0
8.0124.06844.01;7.0124.11691.01;526-7019#01-CORTE;5.0102.00332;CH 50,00x2000x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);77,6; 0,77 ; -   ; -   ;0; -   ; -   ; -   ;261;72;0
8.0124.06868.02;7.0124.11886.02;506-7812#02-CORTE;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;7,7; 0,11 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.0124.06905.00;7.0124.11692.00;523-3409#00-CORTE;5.0102.00250;CH 25,40x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);22,1; 0,30 ; -   ; -   ;0; -   ; -   ; -   ;435;0;0
8.0124.07031.Q00;7.0124.11887.Q00;616-2787#Q00-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);100,8; 0,32 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
