Item Usinagem;Item Blank;Item Cliente;Material;Descrição do material;Qtd de MP;Centro;Portal;Torno;Qtd no WH;Centro;Portal;Torno;OP Firme;OP Planejada;Priorizar?
8.6891.00412.03;7.6891.01572.03;FF105771#03-CORTE;5.0102.00359;CH 22,40x2440x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);52,8; -   ; 0,29 ; -   ;0; -   ; -   ; -   ;144;15;0
8.6891.00416.03;7.6891.01573.03;FF105770#03-CORTE;5.0102.00359;CH 22,40x2440x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);52,8; 0,28 ; -   ; -   ;0; -   ; -   ; -   ;169;30;0
8.6891.00504.D;7.6891.01610.D;T479915#D-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;98,5; 0,60 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.6891.00505.C;7.6891.01611.C;T479429#C-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;98,5; -   ; 0,60 ; -   ;0; -   ; -   ; -   ;0;0;0
8.6891.00529.A;7.6891.01612.A;T429162#A-CORTE;5.0101.00423;CH 20,00x2440x6000 CG PR A572 GR50;2,4; 0,09 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.6891.00532.B;7.6891.01613.B;T390417#B-CORTE;5.0101.00448;CH 40,00x2440x3000 CG PR A572 GR50;95,4; 0,27 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.6891.00570.D;7.6891.01940.D;T481021#D-CORTE;5.0101.00399.JD;CH 08,00x1500x4000 LQ PR A1018 SS50/A572 GR50;39,4; 0,34 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.6891.00572.D;7.6891.01941.D;T481027#D-CORTE;5.0101.00223.JD;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;33,8; 0,32 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.6891.00573.D;7.6891.01942.D;T481029#D-CORTE;5.0101.00399.JD;CH 08,00x1500x4000 LQ PR A1018 SS50/A572 GR50;39,4; 0,34 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.6891.00574.D;7.6891.01943.D;T481030#D-CORTE;5.0101.00223.JD;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;33,9; 0,32 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00080.K;7.7129.01807.K;T156997#K-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,2; -   ; -   ; -   ;93; -   ; -   ; -   ;0;71;71
8.7129.00105.E;7.7129.01809.E;T168030#E-CORTE;5.0101.00561;CH 19,00x1500x3000 LQ PR A1018 SS50/A572 GR50;16,0; 0,07 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00106.E;7.7129.01810.E;T168029#E-CORTE;5.0101.00561;CH 19,00x1500x3000 LQ PR A1018 SS50/A572 GR50;16,4; 0,09 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00108.H;7.7129.01812.H;T168006#H-CORTE;5.0101.00561;CH 19,00x1500x3000 LQ PR A1018 SS50/A572 GR50;17,1; 0,15 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00204.F;7.7129.01778.G;T195347#G-CORTE;5.0101.00277.JD;CH 06,30x1500x3000 LQ PR A1018 SS50/A572 GR50;0,5; -   ; -   ; -   ;0; -   ; -   ; -   ;36;82;0
8.7129.00204.F;7.7129.00291.G;T195347#G;6.0115.01709.00;BUCHA FLAGELADA BRONZE ASTM B-438-73 SAE J471 841 T82861#00;1,0; -   ; -   ; -   ;0; -   ; -   ; -   ;36;82;0
8.7129.00221.C;7.7129.01813.C;AT307790#C-CORTE;5.0101.00277.JD;CH 06,30x1500x3000 LQ PR A1018 SS50/A572 GR50;3,1; -   ; -   ; -   ;0; -   ; -   ; -   ;47;10;0
8.7129.00221.C;7.7129.01813.C;AT307790#C-CORTE;6.0113.00021.02;PORCA SOLDA M8 (1,25) CL 9 ZB (CONF. DES.);3,0; -   ; -   ; -   ;0; -   ; -   ; -   ;47;10;0
8.7129.00302.E;8.7129.00302.E;T168265#E;5.0101.00561;CH 19,00x1500x3000 LQ PR A1018 SS50/A572 GR50;2,5; -   ; -   ; -   ;7; -   ; -   ; -   ;0;0;0
8.7129.00435.B;7.7129.01817.B;T272989#B-CORTE;5.0101.00371;CH 25,40x2100x6000 CG PR A572 GR50;19,6; 0,25 ; -   ; -   ;0; -   ; -   ; -   ;131;114;0
8.7129.00449.C;7.7129.01818.C;T272974#C-CORTE;5.0101.00223.JD;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;64,6; -   ; 0,25 ; -   ;0; -   ; -   ; -   ;21;42;0
8.7129.00467.D;7.7129.01819.D;T317358#D-CORTE;5.0101.00423;CH 20,00x2440x6000 CG PR A572 GR50;58,5; -   ; 0,67 ; -   ;2; -   ; 1,33 ; -   ;0;0;0
8.7129.00468.D;7.7129.01820.D;T317286#D-CORTE;5.0101.00423;CH 20,00x2440x6000 CG PR A572 GR50;115,5; -   ; 0,72 ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00469.D;7.7129.01821.D;T317354#D-CORTE;5.0101.00423;CH 20,00x2440x6000 CG PR A572 GR50;59,0; -   ; 0,63 ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00470.D;7.7129.01822.D;T317316#D-CORTE;5.0101.00423;CH 20,00x2440x6000 CG PR A572 GR50;114,8; -   ; 1,07 ; -   ;6; -   ; 6,40 ; -   ;0;0;0
8.7129.00502.F;7.7129.01823.F;T202643#F-CORTE;5.0101.00370;CH 31,50x2100x6000 CG PR A572 GR50;17,2; 0,35 ; -   ; -   ;0; -   ; -   ; -   ;172;92;0
8.7129.00834.E;8.7129.00834.E;T211760#E;6.0103.00076.00;TAMPÃO PROTETOR CÔNICO EM PEBD AZUL TC 19.0;12,0; 0,84 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00834.E;8.7129.00834.E;T211760#E;6.0103.00080.00;TAMPÃO PROTETOR CÔNICO EM PEBD AZUL TC 23.0;2,0; 0,84 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7129.00834.E;7.7129.01824.E;T211760#E-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);84,8; 0,84 ; -   ; -   ;2; 1,67 ; -   ; -   ;0;0;0
8.7129.00835.C;7.7129.01825.C;T212902#C-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);80,7; 0,38 ; -   ; -   ;0; -   ; -   ; -   ;10;0;0
8.7129.00836.J;7.7129.01826.J;T156950#J-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);23,7; -   ; 0,11 ; -   ;0; -   ; -   ; -   ;85;0;0
8.7129.00837.G;7.7129.01827.G;T168781#G-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);23,7; 0,10 ; -   ; -   ;0; -   ; -   ; -   ;40;40;0
8.7129.00849.J;7.7129.01828.J;T171092#J-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);22,0; 0,19 ; -   ; -   ;0; -   ; -   ; -   ;0;39;0
8.7286.00013.F;7.7286.00010.F;87599503#F-CORTE;5.0101.00509;CH 09,50x1500x3000 LQ PR A572 GR50 CHARPY;8,0; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7286.00014.E;7.7286.00011.E;87599504#E-CORTE;5.0101.00509;CH 09,50x1500x3000 LQ PR A572 GR50 CHARPY;8,1; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7286.00017.C;7.7286.00013.C;87599507#C-CORTE;5.0101.00442;CH 12,50x1500x3000 LQ PR A572 GR50 CHARPY;13,3; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7286.00022.A;7.7286.00012.A;91889369#A-CORTE;5.0101.00258;CH 12,50x1500x3000 LQ PR A1018 SS50/A572 GR50;15,2; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7613.00045.06;7.7613.00069.06;022716P2#06;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);17,0; 0,13 ; -   ; -   ;0; -   ; -   ; -   ;14;7;0
8.7613.00046.05;7.7613.00068.05;022717P2#05;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);17,8; 0,13 ; -   ; -   ;0; -   ; -   ; -   ;15;6;0
8.7613.00047.02;7.7613.00064.02;6224158M1#02-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);13,4; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7755.00086.04;7.7755.00490.04;6307728M1#04-300;5.0201.00289;TB QUA 40,00x3,00x6000 A500 GR C - RA PR;0,1; 0,04 ; -   ; -   ;6; 0,24 ; -   ; -   ;0;0;0
8.7755.00092.04;7.7755.00491.04;6294956M1#04-300;5.0204.00913;TB RET 60,00x40,00x4,00x6000 A500 GR C - RA PR;0,1; 0,10 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7755.00092.05;7.7755.00491.05;6294956M1#05-300;5.0204.00913;TB RET 60,00x40,00x4,00x6000 A500 GR C - RA PR;0,1; 0,06 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7755.00159.03;7.7755.00510.03;4384238M3#05-CORTE;5.0102.00252;CH 37,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);4,6; 0,40 ; -   ; -   ;0; -   ; -   ; -   ;4;0;0
8.7755.00166.01;7.7755.00492.01;ACW3224240#01-300;5.0201.00287;TB QUA 40,00x3,75x6000 A500 GR C - RR PR;1,3; 0,14 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7755.00167.01;7.7755.00493.01;ACW3224250#01-300;5.0201.00287;TB QUA 40,00x3,75x6000 A500 GR C - RR PR;1,3; 0,11 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7755.00274.01;7.7755.00513.01;ACX318324A#01-CORTE;5.0102.00273;CH 03,00x1500x3000 LQ DO DC ASTM A36 e SS300/CIVIL300(CQ);1,1; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7800.00077.B;7.7800.01954.B;47867323#B-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,5; 0,04 ; -   ; -   ;0; -   ; -   ; -   ;25;24;0
8.7800.00096.A;7.7800.01955.A;47843759#A-CORTE;5.0102.00262;CH 08,00x1800x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);18,7; 0,20 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.7800.00097.A;7.7800.01956.A;47843844#A-CORTE;5.0101.00561;CH 19,00x1500x3000 LQ PR A1018 SS50/A572 GR50;148,6; -   ; 0,74 ; -   ;2; -   ; 1,47 ; -   ;0;0;0
8.7800.00098.A;7.7800.01957.A;47843852#A-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;140,9; -   ; 0,37 ; -   ;0; -   ; -   ; -   ;0;0;0
8.7800.00099.A;7.7800.01958.A;47843877#A-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;163,7; -   ; 0,90 ; -   ;0; -   ; -   ; -   ;0;0;0
8.7800.00100.A;7.7800.01959.A;47843882#A-CORTE;5.0101.00562;CH 16,00x1500x3000 LQ PR A1018 SS50/A572 GR50;168,8; -   ; 1,08 ; -   ;0; -   ; -   ; -   ;0;0;0
8.8330.00035.C;7.8330.00020.C;R556873#C-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);7,4; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.9113.00040.01;7.9113.00489.01;208-30-22J60K1#01;5.0102.00253;CH 55,00x2000x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);92,6; 0,20 ; -   ; -   ;0; -   ; -   ; -   ;7;0;0
8.9113.00041.01;7.9113.00490.01;208-30-22J70K1#01;5.0102.00253;CH 55,00x2000x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);92,6; 0,20 ; -   ; -   ;0; -   ; -   ; -   ;5;0;0
8.9113.00070.01;7.9113.01238.01;419-70-B5790#01;5.0199.00800;CH 31,80x2500x6000 CG PR HARDOX 450;80,7; 5,45 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.9113.00070.01;8.9113.00070.01;419-70-B5790#01;IPP 6000315;PINTURA LIQUIDA ACAB CINZA BLACK GREY - KOMATSU;0,6; 5,45 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.9113.00070.01;IPP 6000315;;6.0200.00694.00;DILUENTE I1026.2002 AXALTA (ITOB-01026);0,1; 5,45 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.9113.00070.01;IPP 6000315;;6.0200.00710.00;IMRON INDUSTRIAL AGR CINZA BLACK GRAY I 1996.1997/51 AXALTA;0,2; 5,45 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
8.9113.00070.01;IPP 6000315;;6.0200.00693.00;CATALISADOR I1017.4097 AXALTA;0,1; 5,45 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0000.03441.00;7.0000.03442.00;;5.0201.00334;TUBO QUA 63,5x4,75x6000 SAE1020  (PARA USO INTERNO);1,6; 0,33 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0000.03532.00;7.0000.03533.00;;5.0310.00185;"BARRA LAM RED 1"" SAE 1020 (U.I.)";0,3; 0,03 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0000.03768.00;7.0000.03960.00;;5.0100.00547;CH 04,75x1200x3000 LF SAE1008/1012 (U.I.);2,9; -   ; -   ; -   ;0; -   ; -   ; -   ;20;0;0
7.0000.03775.00;7.0000.03948.00;;5.0320.00009;"BARRA TREF RED 1/2"" SAE 1020";0,1; 0,08 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0000.03776.00;7.0000.03777.00;;5.0320.00092;"BARRA TREF RED 2"" SAE 1020";0,1; 0,17 ; -   ; -   ;0; -   ; -   ; -   ;10;0;0
7.0000.03779.00;7.0000.03780.00;;5.0320.00092;"BARRA TREF RED 2"" SAE 1020";0,1; 0,17 ; -   ; -   ;0; -   ; -   ; -   ;10;0;0
7.0000.03949.00;7.0000.03950.00;;5.0310.00185;"BARRA LAM RED 1"" SAE 1020 (U.I.)";0,1; 0,08 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.01061.BNF;7.0124.01061.BNF;226-4909#02 BNF CONF;6.0100.03777.02;TELA 226-4909#02;1,0; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.01073.00;7.0124.11456.00;457-4843#00-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,7; -   ; -   ; -   ;0; -   ; -   ; -   ;0;4;0
7.0124.01086.Q01;7.0124.11458.Q01;620-4247#Q01-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);20,6; 0,30 ; -   ; -   ;0; -   ; -   ; -   ;6;0;0
7.0124.01101.Q01;7.0124.11459.Q01;620-4255#Q01-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);15,6; 0,10 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.01101.Q01;7.0124.01101.Q01;620-4255#Q01;6.0113.00022.03;PORCA SOLDA M12 (1,75) CL 9 ZB (CONF. DES.);2,0; 0,10 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.01106.Q01;7.0124.11460.Q01;620-4256#Q01-CORTE;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,1; 0,29 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.02569.01;7.0124.11461.01;123-3691#01-CORTE;5.0102.00263;CH 04,75x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,3; -   ; -   ; -   ;1; -   ; -   ; -   ;0;0;0
7.0124.02587.03;7.0124.11832.03;284-8446#03-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);4,1; -   ; -   ; -   ;0; -   ; -   ; -   ;50;0;0
7.0124.02961.U05;7.0124.11895.U05;287-9966#U05-CORTE;5.0101.00223;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;1,1; 0,00 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.02962.U04;7.0124.02962.U04;287-9967#U04;5.0101.00223;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;4,0; 0,00 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.02962.U04;7.0124.12040.U04;287-9967#U04-CORTE;5.0101.00223;CH 09,50x1500x3000 LQ PR A1018 SS50/A572 GR50;4,0; 0,00 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.03002.03;7.0001.00016.00;;5.0320.00005;"BARRA TREF RED 1 1/4"" SAE 1020";1,0; -   ; -   ; 0,02 ;0; -   ; -   ; -   ;2028;896;0
7.0124.03114.01;7.0001.00026.00;;5.0320.00054;"BARRA TREF RED 7/8"" SAE 1020";1,0; -   ; -   ; 0,03 ;0; -   ; -   ; -   ;0;0;0
7.0124.03117.02;7.0001.00019.00;;5.0320.00006;"BARRA TREF RED 1 3/4"" SAE 1020";0,5; -   ; -   ; 0,03 ;0; -   ; -   ; -   ;68;96;0
7.0124.03154.03;7.0124.11201.03;301-2328#03-300;5.0320.00020;"BARRA TREF RED 3/4"" SAE 1045";0,1; -   ; -   ; 0,08 ;0; -   ; -   ; -   ;0;0;0
7.0124.03162.02;7.0124.11463.02;118-9632#02-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);3,1; -   ; -   ; 0,11 ;0; -   ; -   ; -   ;267;143;0
7.0124.03167.06;7.0124.11464.06;8P-1115#06-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);1,6; -   ; -   ; 0,09 ;0; -   ; -   ; -   ;110;135;0
7.0124.03194.02;7.0124.11465.02;8X-0536#02-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,1; -   ; -   ; -   ;47; -   ; -   ; -   ;238;173;47
7.0124.03238.00;7.0124.11833.00;172-0932#00-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,1; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.03264.03;7.0124.12171.03;658-4007#00;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);1,6; 0,03 ; -   ; -   ;0; -   ; -   ; -   ;1311;448;0
7.0124.03283.01;7.0001.00014.00;;5.0320.00008;"BARRA TREF RED 1"" SAE 1020";1,0; -   ; -   ; 0,02 ;82; -   ; -   ; 1,82 ;0;0;0
7.0124.03796.00;7.0001.00016.00;;5.0320.00005;"BARRA TREF RED 1 1/4"" SAE 1020";1,0; -   ; -   ; 0,05 ;0; -   ; -   ; -   ;0;0;0
7.0124.04099.01;7.0124.11834.01;8X-5147#01-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,1; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.04132.01;7.0001.00016.00;;5.0320.00005;"BARRA TREF RED 1 1/4"" SAE 1020";1,0; -   ; -   ; 0,06 ;0; -   ; -   ; -   ;152;78;0
7.0124.04178.W01;7.0124.11891.W01;336-4595#W01-CORTE;5.0102.00269;CH 06,30x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,3; -   ; -   ; -   ;0; -   ; -   ; -   ;25;0;0
7.0124.04178.W01;7.0124.04178.W01;336-4595#W01;6.0113.00004.05;PORCA SOLDA M10 (1,5) CL 9 ZB (CONF. DES.);1,0; -   ; -   ; -   ;0; -   ; -   ; -   ;25;0;0
7.0124.04392.05;7.0124.11468.05;7I-5558#05-CORTE;5.0101.00449;CH 50,00x2000x3000 CG PR A572 GR50 CHARPY;17,3; 0,23 ; -   ; -   ;2; 0,45 ; -   ; -   ;0;0;0
7.0124.04409.00;7.0124.11469.00;282-2334#00-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,1; -   ; -   ; -   ;39; -   ; -   ; -   ;0;0;0
7.0124.04414.00;7.0001.00016.00;;5.0320.00005;"BARRA TREF RED 1 1/4"" SAE 1020";1,0; -   ; -   ; 0,04 ;0; -   ; -   ; -   ;0;0;0
7.0124.04417.BNF;7.0001.00010.00;;5.0320.00024;"BARRA TREF RED 5/8"" SAE 1020";1,0; -   ; -   ; 0,05 ;2; -   ; -   ; 0,10 ;0;0;0
7.0124.04744.01;7.0124.11472.01;382-3562#01-ITEM04;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);3,6; -   ; -   ; -   ;0; -   ; -   ; -   ;51;50;0
7.0124.04973.03;7.0124.11419.03;9R-3983#03-300;5.0300.00198;"FC 3/8""x1"" ASTM A36";0,0; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.04980.02;7.0124.11474.02;174-3578#02-CORTE;5.0102.00271;CH 12,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,1; -   ; -   ; -   ;0; -   ; -   ; -   ;6;15;0
7.0124.05017.00;7.0124.11475.00;388-7387#00-CORTE;5.0102.00253;CH 55,00x2000x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);55,1; 0,20 ; -   ; -   ;0; -   ; -   ; -   ;331;131;0
7.0124.05018.01;7.0124.11476.01;388-7388#01-CORTE;5.0102.00253;CH 55,00x2000x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);102,7; 0,18 ; -   ; -   ;0; -   ; -   ; -   ;301;130;0
7.0124.05183.00;7.0001.00018.00;;5.0320.00087;"BARRA TREF RED 1 5/8"" SAE 1020";0,5; -   ; -   ; 0,08 ;0; -   ; -   ; -   ;0;0;0
7.0124.05231.02;7.0124.11477.02;9C-6809#02-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,4; 0,06 ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.05231.03;7.0124.11478.03;9C-6809#03-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,4; -   ; -   ; -   ;0; -   ; -   ; -   ;60;60;0
7.0124.05392.11;7.0124.11479.11;247-9769#11-ITEM01;5.0102.00262;CH 08,00x1800x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);22,4; -   ; 0,17 ; -   ;3; -   ; 0,50 ; -   ;39;15;3
7.0124.05393.11;7.0124.11480.11;247-9769#11-ITEM02;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);1,5; 0,06 ; -   ; -   ;14; 0,89 ; -   ; -   ;31;15;14
7.0124.05398.00;7.0124.11481.00;304-7420#00-CORTE;5.0102.00255;CH 16,00x1500x4000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,2; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.05568.00;7.0124.11897.00;384-7089#00-CORTE;5.0102.00269;CH 06,30x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);0,8; -   ; -   ; -   ;0; -   ; -   ; -   ;10;18;0
7.0124.05612.Q01;7.0124.11222.Q01;7Y-9931#Q01-300;5.0320.00096;"BARRA TREF RED 2 1/4"" SAE 1020";0,0; -   ; -   ; 0,11 ;0; -   ; -   ; -   ;216;0;0
7.0124.05713.01;7.0001.00015.00;;5.0320.00005;"BARRA TREF RED 1 1/4"" SAE 1020";0,5; -   ; -   ; 0,02 ;0; -   ; -   ; -   ;240;360;0
7.0124.05715.03;7.0001.00016.00;;5.0320.00005;"BARRA TREF RED 1 1/4"" SAE 1020";1,0; -   ; -   ; 0,02 ;0; -   ; -   ; -   ;240;360;0
7.0124.05725.02;7.0124.11482.02;109-6574#02-CORTE;5.0199.00621;CH 40,00x2500x6000 CG PR STRENX 700E;9,3; -   ; -   ; 0,12 ;0; -   ; -   ; -   ;353;146;0
7.0124.05731.01;7.0124.11483.01;256-7321#01-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);5,8; -   ; 0,19 ; -   ;0; -   ; -   ; -   ;33;33;0
7.0124.05732.01;7.0124.11484.01;256-7322#01-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);5,9; 0,14 ; -   ; -   ;0; -   ; -   ; -   ;49;33;0
7.0124.05737.Q01;7.0124.11485.Q01;250-6446#Q01-CORTE;5.0199.00447;CH 50,00x2500x6000 CG PR STRENX 700E;16,0; -   ; -   ; 0,48 ;0; -   ; -   ; -   ;0;0;0
7.0124.05738.Q01;7.0124.11486.Q01;250-6447#Q01-CORTE;5.0199.00447;CH 50,00x2500x6000 CG PR STRENX 700E;10,0; -   ; -   ; 0,17 ;0; -   ; -   ; -   ;2;2;0
7.0124.05783.02;7.0124.11487.02;255-0908#02-CORTE;5.0102.00250;CH 25,40x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);4,6; 0,18 ; -   ; -   ;0; -   ; -   ; -   ;4;0;0
7.0124.05784.02;7.0124.11488.02;255-0909#02-CORTE;5.0102.00250;CH 25,40x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);4,4; 0,06 ; -   ; -   ;0; -   ; -   ; -   ;4;0;0
7.0124.05941.00;7.0124.11491.00;365-6674#00-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);5,1; 0,07 ; -   ; -   ;0; -   ; -   ; -   ;187;160;0
7.0124.05946.00;7.0124.11492.00;287-6696#00-CORTE;5.0102.00251;CH 31,50x2100x6000 CG PR DC ASTM A36 e SS300/CIVIL300(CQ);1,7; 0,02 ; -   ; -   ;0; -   ; -   ; -   ;47;0;0
7.0124.06035.02;7.0124.11836.02;312-4670#02-ITEM01;5.0102.00275;CH 09,50x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);14,6; -   ; -   ; -   ;0; -   ; -   ; -   ;0;0;0
7.0124.06041.02;7.0001.00017.00;;5.0320.00004;"BARRA TREF RED 1 1/2"" SAE 1020";0,5; -   ; -   ; 0,04 ;0; -   ; -   ; -   ;51;344;0
7.0124.06414.Q04;7.0124.12041.Q04;184-5551#Q04-CORTE;5.0102.00325;CH 19,00x1500x3000 LQ PR DC ASTM A36 e SS300/CIVIL300(CQ);19,6; -   ; 0,10 ; -   ;0; -   ; -   ; -   ;0;0;0
