Estacao,Data Inicial,Data Final,Ordem,Produto,Qtd OK,Qtd NOK,Tempo Teorico,Tempo Teorico Total,Tempo Parada,Tempo Real,Tempo Real Total,Etapa,Fabricante,Turno,Setor
CTU29,2026-05-21T16:28:09.747,2026-05-21T16:28:15.81,SQO260520184111627,8.2155.02999.P02,1,0,5.17,5.17,,0,1,0,PALETEIRA,1,USINAGEM
CTU29,2026-05-21T16:28:15.81,2026-05-22T00:49:46.827,SQO260520184111627,8.2155.02999.P02,14,0,5.17,72.38,43,32.714285714285715,14,0,PALETEIRA,2,USINAGEM
TC03,2026-05-21T16:29:28.03,2026-05-21T16:29:46.383,SQO260521071948286,7.0124.04132.01,10,0,3.5,35,,0,10,0,,1,USINAGEM
TC03,2026-05-21T16:29:46.383,2026-05-21T16:35:36.45,SQO260521071948286,7.0124.04132.01,16,0,3.5,56,,0.3125,16,0,,1,USINAGEM
CTU05,2026-05-21T16:32:16.98,2026-05-21T17:16:28.54,SQO260521100944927,7.6602.00395.02,2,0,13,26,8,18,2,0,,2,USINAGEM
CTU16,2026-05-21T16:33:18.537,2026-05-21T17:08:34.493,SQO260521121056795,8.2155.02520.P00,1,0,2,2,23,12,1,0,,2,USINAGEM
TC04,2026-05-21T16:33:52.737,2026-05-21T16:47:11.793,SQO260521071116757,7.0124.06041.02,1,0,3.17,3.17,,13,1,0,TORNO,1,USINAGEM
CTU27,2026-05-21T16:34:24.447,2026-05-22T01:39:19.877,SQO260521082021744,7.0124.11824.H01,62,0,5,310,99,7.17741935483871,62,0,,2,USINAGEM
CTU22,2026-05-21T16:35:07.993,2026-05-21T17:08:20.887,SQO260521144051992,8.7129.00253.H,2,0,4.72,9.44,8,12.5,2,0,,2,USINAGEM
TC03,2026-05-21T16:35:36.45,2026-05-21T16:50:30.93,SQO260521071948286,7.0124.04132.01,1,0,3.5,3.5,,14,1,0,,2,USINAGEM
CTU26,2026-05-21T16:35:45.043,2026-05-21T17:00:09.847,SQO260521161621755,7.2155.02920.P01,1,0,2.17,2.17,,24,1,0,,2,USINAGEM
RB30,2026-05-21T16:37:06.413,2026-05-21T16:37:38.857,SQO260521163639385,7.0124.09650.H03,1,0,36.1,36.1,,0,1,0,MOTOFIL,1,ROBO DE SOLDA
RB30,2026-05-21T16:37:38.857,2026-05-21T16:37:47.103,SQO260521163639385,7.0124.09650.H03,1,0,36.1,36.1,,0,1,0,MOTOFIL,1,ROBO DE SOLDA
RB30,2026-05-21T16:37:47.103,2026-05-21T16:37:52.027,SQO260521163639385,7.0124.09650.H03,1,0,36.1,36.1,,0,1,0,MOTOFIL,1,ROBO DE SOLDA
MD07,2026-05-21T16:38:24.383,2026-05-21T21:12:48.02,SQO260521163822992,8.0124.06758.04,1,0,16,16,38,236,1,0,HELLER,2,USINAGEM
TC04,2026-05-21T16:47:58.577,2026-05-21T18:30:33.613,SQO260521164751725,7.0124.06041.02,41,0,3.17,129.97,,2.4878048780487805,41,0,TORNO,2,USINAGEM
RB23,2026-05-21T16:52:49.623,2026-05-22T01:13:11.677,SQO260521165248351,7.0124.09717.H06,5,0,38,190,63,87.4,5,0,,2,ROBO DE SOLDA
CTU12,2026-05-21T16:54:50.533,2026-05-22T01:41:21.497,SQO260520194713724,7.7366.00596.E02,3,0,103,309,115,137,3,0,,2,USINAGEM
MD07,2026-05-21T16:57:33.257,2026-05-22T01:21:45.513,SQO260521165731391,7.3558.02094.00,1,0,16,16,93,411,1,0,HELLER,2,USINAGEM
CL11,2026-05-21T17:06:18.803,2026-05-21T18:19:28.793,SQO260521165458858,7.7129.01204.A,15,0,5.93,88.94999999999999,,4.866666666666666,15,0,,2,CALANDRA
CTU22,2026-05-21T17:08:20.887,2026-05-21T18:40:45.267,SQO260521144051992,8.7129.00253.H,10,0,4.72,47.199999999999996,,9.2,10,0,,2,USINAGEM
CTU16,2026-05-21T17:08:34.493,2026-05-21T19:47:46.56,SQO260521121056795,8.2155.02520.P00,1,0,2,2,84,75,1,0,,2,USINAGEM
RB24,2026-05-21T17:10:24.507,2026-05-21T21:42:58.143,SQO260521171022628,7.7129.01258.D,7,0,31,217,68,29.142857142857142,7,0,,2,ROBO DE SOLDA
RB14,2026-05-21T17:10:24.54,2026-05-21T18:45:11.43,SQO260521171023050,8.0124.04712.03,4,0,16.79,67.16,,23.5,4,0,,2,ROBO DE SOLDA
TC08,2026-05-21T17:10:29.223,2026-05-22T01:51:49.177,SQO260521165838368,7.8088.04700.A,70,0,3,210,142,5.414285714285715,70,0,,2,USINAGEM
RB04,2026-05-21T17:12:42.957,2026-05-21T17:48:01.757,SQO260521171241553,8.0124.05094.03,1,0,65.2,65.2,14,21,1,0,,2,ROBO DE SOLDA
CTU05,2026-05-21T17:16:28.54,2026-05-21T19:57:47.647,SQO260521100944927,7.6602.00395.02,12,0,13,156,,13.416666666666666,12,0,,2,USINAGEM
RB30,2026-05-21T17:21:12.643,2026-05-21T18:06:11.373,SQO260521172058287,7.0124.09650.H03,1,0,36.1,36.1,0,44,1,0,MOTOFIL,2,ROBO DE SOLDA
RB34,2026-05-21T17:32:21.533,2026-05-21T17:32:25.917,SQO260521173220077,8.0124.06646.Q07,1,0,95.75,95.75,,0,1,0,,2,ROBO DE SOLDA
RB34,2026-05-21T17:32:33.993,2026-05-21T18:51:42.827,SQO260521173232807,8.0124.06646.Q07,1,0,95.75,95.75,,79,1,0,,2,ROBO DE SOLDA
MD01,2026-05-21T17:34:16.923,2026-05-22T01:26:09.743,SQO260521165231155,7.8088.04147.B,8,0,50,400,111,45,8,0,WOTAN,2,USINAGEM
TC03,2026-05-21T17:44:15.097,2026-05-21T21:43:51.73,SQO260521173024813,7.0124.12077.00,50,0,,,,4.78,50,0,,2,USINAGEM
CTU26,2026-05-21T17:46:43.917,2026-05-21T17:46:48.093,SQO260521171924456,7.2155.02920.P01,1,0,2.17,2.17,,0,1,0,,2,USINAGEM
CTU26,2026-05-21T17:46:48.093,2026-05-21T18:57:51.09,SQO260521171924456,7.2155.02920.P01,18,0,2.17,39.06,,3.9444444444444446,18,0,,2,USINAGEM
RB04,2026-05-21T17:48:14.72,2026-05-21T18:52:44.237,SQO260521174813454,8.0124.05094.03,1,0,65.2,65.2,,64,1,0,,2,ROBO DE SOLDA
RB36,2026-05-21T17:50:50.967,2026-05-22T02:08:54.11,SQO260521175049430,8.9113.00032.02,1,0,183,183,0,498,1,0,,2,ROBO DE SOLDA
DB43,2026-05-21T18:02:07.55,2026-05-21T19:18:49.997,SQO260521165946591,7.7800.00251.A,10,0,3.06,30.6,,7.6,10,0,,2,DOBRADEIRA
CTU28,2026-05-21T18:06:49.47,2026-05-21T21:56:25.133,SQO260521081602543,8.2155.02755.P06,11,0,13.5,148.5,46,16.636363636363637,11,0,,2,USINAGEM
MD03,2026-05-21T18:07:59.753,2026-05-22T01:02:20.073,SQO260521180758164,8.0553.00066.06,4,0,55,220,106,77,4,0,WOTAN,2,USINAGEM
RB23,2026-05-21T18:15:24.323,2026-05-22T01:53:19.507,SQO260521175410485,8.3558.00559.F,6,0,41.99,251.94,58,66.5,6,0,,2,ROBO DE SOLDA
RB30,2026-05-21T18:16:05.057,2026-05-21T18:56:59.57,SQO260521181550835,7.0124.09650.H03,1,0,36.1,36.1,,40,1,0,MOTOFIL,2,ROBO DE SOLDA
RB17,2026-05-21T18:22:44.037,2026-05-21T18:22:47.897,SQO260521182242241,8.0124.06646.Q07,1,0,95.75,95.75,,0,1,0,,2,ROBO DE SOLDA
RB17,2026-05-21T18:22:57.927,2026-05-21T19:35:09.217,SQO260521182256332,7.7800.00181.B,1,0,51,51,,72,1,0,,2,ROBO DE SOLDA
RB40,2026-05-21T18:23:22.407,2026-05-21T20:41:26.187,SQO260521182319564,8.6891.00459.A,2,0,302,302,16,260,2,0,,2,ROBO DE SOLDA
CL11,2026-05-21T18:23:37.96,2026-05-21T18:47:56.887,SQO260521181959719,7.3558.02399.00,1,0,27,27,,24,1,0,,2,CALANDRA
RB35,2026-05-21T18:24:47.17,2026-05-21T20:41:16.803,SQO260521182444852,7.9113.00206.01,1,0,115,115,6,130,1,0,,2,ROBO DE SOLDA
MD04,2026-05-21T18:25:18.55,2026-05-21T20:44:05.59,SQO260521182514648,7.7800.01690.G,1,0,119.47,119.47,54,84,1,0,WOTAN,2,USINAGEM
DB35,2026-05-21T18:26:20.547,2026-05-21T20:12:22.983,SQO260521175143481,7.0124.11001.02,30,0,2.26,67.8,,3.533333333333333,30,0,,2,DOBRADEIRA
MD09,2026-05-21T18:29:54.65,2026-05-21T21:56:35.993,SQO260521054750595,7.0124.07085.00,2,0,53,106,29,88.5,2,0,HELLER,2,USINAGEM
RB43,2026-05-21T18:41:14.967,2026-05-21T20:11:21.443,SQO260521184113343,7.0124.09925.01,1,0,100,100,,90,1,0,,2,ROBO DE SOLDA
RB16,2026-05-21T18:44:29.837,2026-05-22T01:59:20.53,SQO260521184428011,7.0124.07862.03,12,0,12.95,155.39999999999998,165,22.416666666666668,12,0,,2,ROBO DE SOLDA
RB39,2026-05-21T18:51:24.433,2026-05-22T01:48:24.43,SQO260521185122685,7.0124.10887.02,3,0,96.28,288.84000000000003,102,104.66666666666667,3,0,,2,ROBO DE SOLDA
RB34,2026-05-21T18:51:54.37,2026-05-21T20:16:04.803,SQO260521185152931,8.0124.06646.Q07,1,0,95.75,95.75,,84,1,0,,2,ROBO DE SOLDA
CTU22,2026-05-21T18:53:50.427,2026-05-21T19:40:37.137,SQO260521185343487,7.7129.00210.BNF,1,0,5.31932,5.31932,35,11,1,0,,2,USINAGEM
CL11,2026-05-21T18:54:20.973,2026-05-21T21:05:16.32,SQO260521184833414,7.6891.00971.A,30,0,,,,17.333333333333332,30,0,,2,CALANDRA
RB30,2026-05-21T18:57:12.36,2026-05-21T19:41:22.047,SQO260521185710896,7.0124.09650.H03,1,0,36.1,36.1,3,41,1,0,MOTOFIL,2,ROBO DE SOLDA
RB04,2026-05-21T19:02:27.323,2026-05-21T20:03:28.803,SQO260521190225500,8.0124.05094.03,1,0,65.2,65.2,11,50,1,0,,2,ROBO DE SOLDA
DB43,2026-05-21T19:19:21.387,2026-05-22T01:13:09.46,SQO260521191915503,7.7800.00258.A,25,0,16.39,409.75,,14.12,25,0,,2,DOBRADEIRA
TC04,2026-05-21T19:26:17.277,2026-05-22T01:54:57.747,SQO260521183059581,7.3558.02080.00,113,0,2.44,275.71999999999997,62,2.8849557522123894,113,0,TORNO,2,USINAGEM
CTU29,2026-05-21T19:27:54.893,2026-05-22T01:35:35.18,SQO260521183834684,8.2155.02645.P02,14,0,15.9,222.6,60,21.928571428571427,14,0,PALETEIRA,2,USINAGEM
RB17,2026-05-21T19:35:05.853,2026-05-21T20:34:08.827,SQO260521193504461,7.7800.00183.B,1,0,33.24,33.24,,59,1,0,,2,ROBO DE SOLDA
DB36,2026-05-21T19:37:27.417,2026-05-21T20:45:15.133,SQO260521193725101,7.7129.00804.A,15,0,12.34,185.1,,4.466666666666667,15,0,,2,DOBRADEIRA
CTU22,2026-05-21T19:40:37.137,2026-05-21T21:27:58.6,SQO260521185343487,7.7129.00210.BNF,20,0,5.31932,106.38640000000001,10,4.85,20,0,,2,USINAGEM
CTU16,2026-05-21T19:47:46.56,2026-05-21T21:42:30.317,SQO260521121056795,8.2155.02520.P00,80,0,2,160,,1.425,80,0,,2,USINAGEM
RB30,2026-05-21T19:50:34.137,2026-05-21T20:34:33.583,SQO260521195016499,7.0124.09650.H03,1,0,36.1,36.1,,43,1,0,MOTOFIL,2,ROBO DE SOLDA
CTU05,2026-05-21T19:57:47.647,2026-05-21T19:57:57.883,SQO260521100944927,7.6602.00395.02,1,0,13,13,,0,1,0,,2,USINAGEM
CTU26,2026-05-21T20:08:43.257,2026-05-21T21:26:11.46,SQO260521200837040,8.0124.07244.00,2,0,18.18,36.36,,38.5,2,0,,2,USINAGEM
RB43,2026-05-21T20:11:44.003,2026-05-21T22:12:26.157,SQO260521201142609,7.6891.00967.A,2,0,131.22,131.22,,240,2,0,,2,ROBO DE SOLDA
RB34,2026-05-21T20:16:13.77,2026-05-21T21:47:09.49,SQO260521201612124,8.0124.06646.Q07,1,0,95.75,95.75,,90,1,0,,2,ROBO DE SOLDA
RB04,2026-05-21T20:16:25.963,2026-05-21T21:09:37.693,SQO260521201624833,8.0124.05094.03,1,0,65.2,65.2,,53,1,0,,2,ROBO DE SOLDA
RB17,2026-05-21T20:34:05.573,2026-05-21T23:10:02.62,SQO260521203402966,8.0124.07129.Q01,1,0,85.68,85.68,,155,1,0,,2,ROBO DE SOLDA
RB30,2026-05-21T20:35:04.97,2026-05-21T21:22:04.25,SQO260521203453425,7.0124.09650.H03,1,0,36.1,36.1,,46,1,0,MOTOFIL,2,ROBO DE SOLDA
DB36,2026-05-21T20:47:12.88,2026-05-22T00:59:36.45,SQO260521204710807,7.2155.02731.P00,10,0,9.06,90.60000000000001,,25.2,10,0,,2,DOBRADEIRA
MD10,2026-05-21T20:58:51.607,2026-05-21T21:04:24.217,SQO260521205840851,8.9113.00033.00,1,0,,,,5,1,0,DOOSAN,2,USINAGEM
CTU05,2026-05-21T21:00:19.94,2026-05-22T02:00:03.207,SQO260521200825706,7.0124.11890.01,24,0,11.5,276,96,8.458333333333334,24,0,,2,USINAGEM
CL11,2026-05-21T21:06:44.72,2026-05-21T23:59:21.4,SQO260521210553666,7.0124.05704.01,24,0,,,0,7.166666666666667,24,0,,2,CALANDRA
MD07,2026-05-21T21:13:34.86,2026-05-21T21:14:02.08,SQO260521211333823,8.0124.06758.04,7,0,16,112,,0,7,0,HELLER,2,USINAGEM
RB04,2026-05-21T21:21:05.55,2026-05-21T22:06:31.28,SQO260521212103001,8.0124.05094.03,1,0,65.2,65.2,,45,1,0,,2,ROBO DE SOLDA
RB30,2026-05-21T21:22:34.013,2026-05-21T22:20:06.337,SQO260521212217724,7.0124.09650.H03,1,0,36.1,36.1,3,54,1,0,MOTOFIL,2,ROBO DE SOLDA
MD04,2026-05-21T21:25:07.827,2026-05-21T23:58:39.527,SQO260521210154346,7.7129.00721.B,1,0,51,51,106,47,1,0,WOTAN,2,USINAGEM
CTU26,2026-05-21T21:26:11.46,2026-05-21T21:33:38.31,SQO260521200837040,8.0124.07244.00,1,0,18.18,18.18,,7,1,0,,2,USINAGEM
CTU22,2026-05-21T21:27:58.6,2026-05-21T21:41:30.623,SQO260521185343487,7.7129.00210.BNF,4,0,5.31932,21.27728,,3.25,4,0,,2,USINAGEM
CTU26,2026-05-21T21:34:12.58,2026-05-22T01:12:09.13,SQO260521213410725,8.0124.07244.00,9,0,18.18,163.62,61,17.333333333333332,9,0,,2,USINAGEM
RB35,2026-05-21T21:36:01.423,2026-05-21T23:26:04.78,SQO260521213549822,7.9113.00206.01,1,0,115,115,7,103,1,0,,2,ROBO DE SOLDA
CTU22,2026-05-21T21:41:30.623,2026-05-21T22:39:40.667,SQO260521185343487,7.7129.00210.BNF,15,0,5.31932,79.7898,,3.8666666666666667,15,0,,2,USINAGEM
CTU16,2026-05-21T21:42:30.317,2026-05-22T00:24:59.393,SQO260521121056795,8.2155.02520.P00,64,0,2,128,69,1.453125,64,0,,2,USINAGEM
RB24,2026-05-21T21:43:13.857,2026-05-22T01:50:31.563,SQO260521214311442,7.7129.01258.D,6,0,31,186,82,27.5,6,0,,2,ROBO DE SOLDA
MD10,2026-05-21T21:44:45.897,2026-05-22T00:14:55.303,SQO260521214440976,8.9113.00033.01,1,0,75,75,95,55,1,0,DOOSAN,2,USINAGEM
MD09,2026-05-21T21:57:40.433,2026-05-21T22:33:07.76,SQO260521215737585,7.8088.01617.D,1,0,24,24,,35,1,0,HELLER,2,USINAGEM
TC03,2026-05-21T22:09:39.41,2026-05-22T01:56:27.043,SQO260521214438334,7.0124.12075.01,35,0,,,71,4.428571428571429,35,0,,2,USINAGEM
RB43,2026-05-21T22:13:02.367,2026-05-22T00:28:08.9,SQO260521221300600,7.0124.09925.01,1,0,100,100,75,60,1,0,,2,ROBO DE SOLDA
RB08,2026-05-21T22:15:48.977,2026-05-22T00:13:34.09,SQO260521221209607,7.0124.09930.01,2,0,65.35,130.7,71,23,2,0,,2,ROBO DE SOLDA
MD07,2026-05-21T22:17:28.37,2026-05-22T01:07:16.513,SQO260521221727128,8.0124.04553.02,2,0,35,70,60,54.5,2,0,HELLER,2,USINAGEM
MD09,2026-05-21T22:30:54.823,2026-05-22T02:54:25.31,SQO260521223052212,7.0124.09925.01,2,0,53,106,75,94,2,0,HELLER,3,USINAGEM
MD09,2026-05-21T22:33:07.76,2026-05-22T03:36:58.333,SQO260521215737585,7.8088.01617.D,1,0,24,24,75,228,1,0,HELLER,3,USINAGEM
CTU22,2026-05-21T22:39:40.667,2026-05-21T22:39:46.017,SQO260521185343487,7.7129.00210.BNF,1,0,5.31932,5.31932,,0,1,0,,2,USINAGEM
RB30,2026-05-21T22:59:32.15,2026-05-22T01:51:17.64,SQO260521225916003,7.9113.00207.00,1,0,115,115,71,100,1,0,MOTOFIL,2,ROBO DE SOLDA
RB17,2026-05-21T23:10:13.207,2026-05-22T01:32:23.017,SQO260521231011932,7.7800.00181.B,1,0,51,51,41,101,1,0,,2,ROBO DE SOLDA
CTU22,2026-05-21T23:32:21.487,2026-05-22T00:33:02.113,SQO260521233220054,8.7129.00170.V,9,0,5.76,51.839999999999996,18,4.666666666666667,9,0,,2,USINAGEM
CTU28,2026-05-21T23:51:44.907,2026-05-21T23:52:20.25,SQO260521225231900,7.3558.03416.02,1,0,14.5,14.5,,0,1,0,,2,USINAGEM
CTU28,2026-05-21T23:52:20.25,2026-05-22T00:46:56.6,SQO260521225231900,7.3558.03416.02,3,0,14.5,43.5,11,14.333333333333334,3,0,,2,USINAGEM
RB16,2026-05-21T23:54:13.597,2026-05-22T01:59:14.95,SQO260521235411828,8.0124.04553.03,3,0,66,198,29,32,3,0,,2,ROBO DE SOLDA
CL11,2026-05-21T23:59:57.953,2026-05-22T01:55:40.67,SQO260521235956086,7.9113.00338.00,5,0,13.01,65.05,,23,5,0,,2,CALANDRA
MD04,2026-05-22T00:00:04.333,2026-05-22T01:04:43.397,SQO260522000001752,7.7129.00721.B,1,0,51,51,,64,1,0,WOTAN,2,USINAGEM
RB04,2026-05-22T00:14:36.153,2026-05-22T01:00:38.053,SQO260522001434619,8.0124.05094.03,1,0,65.2,65.2,1,45,1,0,,2,ROBO DE SOLDA
CTU16,2026-05-22T00:24:59.393,2026-05-22T00:25:03.4,SQO260521121056795,8.2155.02520.P00,1,0,2,2,,0,1,0,,2,USINAGEM
RB43,2026-05-22T00:28:37.37,2026-05-22T01:55:05.35,SQO260522002836319,7.6891.00967.A,2,0,131.22,131.22,,172,2,0,,2,ROBO DE SOLDA
CTU22,2026-05-22T00:34:17.677,2026-05-22T00:58:10.06,SQO260522003415672,7.7755.00458.01,2,0,7.98,15.96,10,6.5,2,0,,2,USINAGEM
CTU28,2026-05-22T00:46:56.6,2026-05-22T01:04:40.677,SQO260521225231900,7.3558.03416.02,1,0,14.5,14.5,,17,1,0,,2,USINAGEM
CTU22,2026-05-22T00:58:10.06,2026-05-22T01:29:45.323,SQO260522003415672,7.7755.00458.01,7,0,7.98,55.86,,4.428571428571429,7,0,,2,USINAGEM
DB36,2026-05-22T01:00:11.793,2026-05-22T01:52:19.067,SQO260522010009814,7.2155.02733.P00,10,0,0.6,6,,5.2,10,0,,2,DOBRADEIRA
CTU28,2026-05-22T01:04:40.677,2026-05-22T01:57:17.03,SQO260521225231900,7.3558.03416.02,3,0,14.5,43.5,,17.333333333333332,3,0,,2,USINAGEM
DB43,2026-05-22T01:13:40.253,2026-05-22T01:43:12.09,SQO260522011333418,7.9113.00024.02,1,0,7.38,7.38,,29,1,0,,2,DOBRADEIRA
MD07,2026-05-22T01:22:22.557,2026-05-22T01:22:28.407,SQO260522012221090,7.3558.02094.00,13,0,16,208,,0,13,0,HELLER,2,USINAGEM
MD07,2026-05-22T01:22:28.407,2026-05-22T02:50:51.997,SQO260522012221090,7.3558.02094.00,1,0,16,16,,88,1,0,HELLER,3,USINAGEM
MD07,2026-05-22T01:23:19.277,2026-05-22T03:00:03.803,SQO260522012316802,8.0124.04553.02,1,0,35,35,,96,1,0,HELLER,3,USINAGEM
RB35,2026-05-22T01:27:33.713,2026-05-22T03:59:17.61,SQO260522012729374,7.9113.00206.01,1,0,115,115,13,138,1,0,,3,ROBO DE SOLDA
CTU22,2026-05-22T01:29:45.323,2026-05-22T01:52:29.823,SQO260522003415672,7.7755.00458.01,4,0,7.98,31.92,,5.5,4,0,,2,USINAGEM
RB40,2026-05-22T01:36:44.847,2026-05-22T03:24:11.147,SQO260522013643155,8.6891.00459.A,2,0,302,302,72,142,2,0,,3,ROBO DE SOLDA
CTU26,2026-05-22T01:37:59.597,2026-05-22T01:53:15.323,SQO260522011236105,8.0124.07243.00,1,0,23,23,,15,1,0,,2,USINAGEM
MD10,2026-05-22T01:44:50.573,2026-05-22T03:56:34.98,SQO260522012950262,7.6891.00230.07,1,0,115,115,22,109,1,0,DOOSAN,3,USINAGEM
CTU24,2026-05-22T01:49:10.437,2026-05-22T05:48:57.59,SQO260521110824755,8.2155.02142.P01,3,0,45.93,137.79,31,69.33333333333333,3,0,,3,USINAGEM
CTU22,2026-05-22T01:52:29.823,2026-05-22T01:53:05.17,SQO260522003415672,7.7755.00458.01,2,0,7.98,15.96,,0,2,0,,2,USINAGEM
CTU22,2026-05-22T01:53:05.17,2026-05-22T01:53:22.05,SQO260522003415672,7.7755.00458.01,1,0,7.98,7.98,,0,1,0,,2,USINAGEM
CTU26,2026-05-22T01:53:15.323,2026-05-22T02:57:27.69,SQO260522011236105,8.0124.07243.00,2,0,23,46,,32,2,0,,3,USINAGEM
CTU22,2026-05-22T01:53:22.05,2026-05-22T01:54:22.32,SQO260522003415672,7.7755.00458.01,2,0,7.98,15.96,,0.5,2,0,,2,USINAGEM
CTU22,2026-05-22T01:54:22.32,2026-05-22T03:31:11.323,SQO260522003415672,7.7755.00458.01,19,0,7.98,151.62,15,4.2631578947368425,19,0,,3,USINAGEM
TC03,2026-05-22T01:56:27.043,2026-05-22T03:37:32.02,SQO260521214438334,7.0124.12075.01,15,0,,,,6.733333333333333,15,0,,3,USINAGEM
RB36,2026-05-22T02:12:09.127,2026-05-22T03:40:10.68,SQO260522021103070,8.7129.00865.E,1,0,133.7,133.7,0,88,1,0,,3,ROBO DE SOLDA
TC08,2026-05-22T02:22:23.87,2026-05-22T03:58:46.453,SQO260522021703001,7.8088.04700.A,10,0,3,30,22,7.4,10,0,,3,USINAGEM
RB43,2026-05-22T02:22:31.05,2026-05-22T03:57:34.873,SQO260522022218724,7.6891.00967.A,2,0,131.22,131.22,62,128,2,0,,3,ROBO DE SOLDA
CTU18,2026-05-22T02:42:36.117,2026-05-22T02:43:06.583,SQO260522022847136,7.2155.02690.P03,1,0,,,,0,1,0,,3,USINAGEM
MD07,2026-05-22T02:59:57.497,2026-05-22T03:36:24.017,SQO260522025954119,7.3558.02094.00,2,0,16,32,3,16.5,2,0,HELLER,3,USINAGEM
MD07,2026-05-22T03:00:03.803,2026-05-22T04:12:22.773,SQO260522012316802,8.0124.04553.02,1,0,35,35,3,69,1,0,HELLER,3,USINAGEM
CTU16,2026-05-22T03:20:11.007,2026-05-22T04:53:59.017,SQO260522021556887,7.6689.00591.01,3,0,12.125,36.375,,31,3,0,,3,USINAGEM
CTU22,2026-05-22T03:31:40.477,2026-05-22T03:31:49.977,SQO260522033139281,7.7755.00458.01,5,0,7.98,39.900000000000006,,0,5,0,,3,USINAGEM
MD07,2026-05-22T03:36:24.017,2026-05-22T04:45:19.77,SQO260522025954119,7.3558.02094.00,2,0,16,32,16,26,2,0,HELLER,3,USINAGEM
MD09,2026-05-22T03:36:58.333,2026-05-22T04:16:20.813,SQO260521215737585,7.8088.01617.D,1,0,24,24,11,28,1,0,HELLER,3,USINAGEM
RB43,2026-05-22T03:58:20.347,2026-05-22T05:16:03.547,SQO260522035819321,7.0124.09925.01,1,0,100,100,,77,1,0,,3,ROBO DE SOLDA
MD07,2026-05-22T04:12:22.773,2026-05-22T05:22:27.84,SQO260522012316802,8.0124.04553.02,1,0,35,35,16,54,1,0,HELLER,3,USINAGEM
CTU22,2026-05-22T04:17:19.677,2026-05-22T05:06:11.387,SQO260522033827826,8.0124.06114.02,2,0,15,30,23,12.5,2,0,,3,USINAGEM
RB35,2026-05-22T04:36:05.653,2026-05-22T04:36:32.07,SQO260522040033276,7.9113.00206.01,1,0,115,115,,0,1,0,,3,ROBO DE SOLDA
MD07,2026-05-22T04:45:19.77,2026-05-22T06:02:35.297,SQO260522025954119,7.3558.02094.00,2,0,16,32,21,28,2,0,HELLER,3,USINAGEM
CTU16,2026-05-22T04:53:59.017,2026-05-22T05:41:28.16,SQO260522021556887,7.6689.00591.01,4,0,12.125,48.5,,11.75,4,0,,3,USINAGEM
CTU22,2026-05-22T05:06:11.387,2026-05-22T05:32:01.283,SQO260522033827826,8.0124.06114.02,1,0,15,15,,25,1,0,,3,USINAGEM
CTU22,2026-05-22T05:32:01.283,2026-05-22T05:46:58.55,SQO260522033827826,8.0124.06114.02,1,0,15,15,,14,1,0,,3,USINAGEM
CTU22,2026-05-22T05:46:58.55,2026-05-22T05:59:33.167,SQO260522033827826,8.0124.06114.02,1,0,15,15,,12,1,0,,3,USINAGEM
