Estacao,Data Inicial,Data Final,Ordem,Produto,Qtd OK,Qtd NOK,Tempo Teorico,Tempo Teorico Total,Tempo Parada,Tempo Real,Tempo Real Total,Etapa,Fabricante,Turno,Setor
DB43,2026-05-21T07:28:29.63,2026-05-21T08:05:12.837,SQO260521072128817,7.0124.11972.Q00,7,0,5.13,35.91,,5.142857142857143,7,0,,1,DOBRADEIRA
RB04,2026-05-21T07:31:18.683,2026-05-21T16:28:10.453,SQO260521073117097,8.0124.05094.03,5,0,65.2,326,135,80.2,5,0,,1,ROBO DE SOLDA
RB05,2026-05-21T07:32:40.387,2026-05-21T10:40:16.51,SQO260521073238856,8.8088.08265.A,18,0,5.5,99,1,10.333333333333334,18,0,,1,ROBO DE SOLDA
RB36,2026-05-21T07:34:48.197,2026-05-21T07:34:57.573,SQO260521070808130,8.7129.00865.E,1,0,133.7,133.7,,0,1,0,,1,ROBO DE SOLDA
CTU29,2026-05-21T07:39:31.52,2026-05-21T16:03:30.897,SQO260520001345406,8.7129.00502.F,17,0,14,238,147,20.941176470588236,17,0,PALETEIRA,1,USINAGEM
CTU29,2026-05-21T07:39:43.757,2026-05-21T16:28:09.747,SQO260520184111627,8.2155.02999.P02,18,0,5.17,93.06,147,21.166666666666668,18,0,PALETEIRA,1,USINAGEM
CL09,2026-05-21T07:39:44.527,2026-05-21T15:27:42.423,SQO260521073940858,7.0124.10571.00,8,0,31.37,250.96,152,39.375,8,0,,1,CALANDRA
CTU22,2026-05-21T07:49:25.04,2026-05-21T11:32:46.197,SQO260521045451078,7.0124.09942.00,8,0,23.21,185.68,9,26.75,8,0,,1,USINAGEM
DB35,2026-05-21T07:52:05.78,2026-05-21T09:28:09.053,SQO260521073512691,7.7129.01203.A,90,0,1.61958,145.7622,,1.0666666666666667,90,0,,1,DOBRADEIRA
RB40,2026-05-21T07:52:43.817,2026-05-21T10:54:44.28,SQO260521075242719,7.6891.00964.A,2,0,256.24,256.24,,364,2,0,,1,ROBO DE SOLDA
CTU27,2026-05-21T07:53:21.057,2026-05-21T08:06:37.013,SQO260521070708194,7.0124.11824.H01,1,0,5,5,,13,1,0,,1,USINAGEM
RB16,2026-05-21T07:54:34.567,2026-05-21T15:10:56.18,SQO260521075422037,8.0124.04553.03,5,0,66,330,108,65.6,5,0,,1,ROBO DE SOLDA
RB23,2026-05-21T07:58:26.16,2026-05-21T08:37:33.463,SQO260521075824517,8.3558.00559.F,1,0,41.99,41.99,,39,1,0,,1,ROBO DE SOLDA
RB24,2026-05-21T07:58:27.29,2026-05-21T09:09:28.983,SQO260521073835762,7.7129.01241.BNF,1,0,69.3,69.3,,71,1,0,,1,ROBO DE SOLDA
CL11,2026-05-21T08:09:16.92,2026-05-21T09:21:00.26,SQO260521080915753,8.2155.02952.P02,20,0,3.95,79,,3.55,20,0,,1,CALANDRA
MD04,2026-05-21T08:10:53.24,2026-05-21T14:25:00.33,SQO260521072449427,8.7800.00292.B,1,0,148,148,233,141,1,0,WOTAN,1,USINAGEM
RB17,2026-05-21T08:16:10.773,2026-05-21T09:47:08.787,SQO260521081608287,8.0124.07011.Q01,1,0,92.92,92.92,,90,1,0,,1,ROBO DE SOLDA
RB14,2026-05-21T08:21:38.95,2026-05-21T16:26:37.04,SQO260521075932587,8.0124.04712.03,20,0,16.79,335.79999999999995,76,20.4,20,0,,1,ROBO DE SOLDA
MD03,2026-05-21T08:28:32.937,2026-05-21T09:43:34.683,SQO260521081018178,7.6577.01261.01,1,0,60,60,14,61,1,0,WOTAN,1,USINAGEM
RB51,2026-05-21T08:32:03.963,2026-05-21T09:44:54.627,SQO260521082725562,7.0124.08855.03,1,0,64.27,64.27,,72,1,0,,1,ROBO DE SOLDA
DB43,2026-05-21T08:33:25.323,2026-05-21T10:50:38.853,SQO260521080617623,7.0124.12052.Q02,18,0,4.74,85.32000000000001,,7.611111111111111,18,0,,1,DOBRADEIRA
CTU27,2026-05-21T08:33:50.013,2026-05-21T14:50:10.407,SQO260521082021744,7.0124.11824.H01,57,0,5,285,76,5.2631578947368425,57,0,,1,USINAGEM
RB23,2026-05-21T08:37:48.363,2026-05-21T09:22:23.507,SQO260521083746504,7.0124.09717.H06,1,0,38,38,,44,1,0,,1,ROBO DE SOLDA
MD01,2026-05-21T08:38:42.457,2026-05-21T15:21:08.06,SQO260521073915531,7.0124.11117.04,1,0,330,330,72,330,1,0,WOTAN,1,USINAGEM
RB34,2026-05-21T08:45:34.883,2026-05-21T10:26:32.753,SQO260521084527920,8.0124.06646.Q07,1,0,95.75,95.75,2,98,1,0,,1,ROBO DE SOLDA
CTU28,2026-05-21T08:52:40.41,2026-05-21T11:09:59.813,SQO260521081602543,8.2155.02755.P06,2,0,13.5,27,41,48,2,0,,1,USINAGEM
CTU24,2026-05-21T08:59:04.067,2026-05-21T11:07:46.417,SQO260521083951034,7.7129.01287.A,10,0,12.12,121.19999999999999,19,10.9,10,0,,1,USINAGEM
MD10,2026-05-21T09:09:17.973,2026-05-21T11:04:56.073,SQO260521081812549,7.6891.00967.A,2,0,230,230,,230,2,0,DOOSAN,1,USINAGEM
RB25,2026-05-21T09:19:39.047,2026-05-21T11:55:53.11,SQO260521091936975,8.0124.06887.01,1,0,151,151,,156,1,0,,1,ROBO DE SOLDA
RB23,2026-05-21T09:22:40.34,2026-05-21T10:03:54.627,SQO260521092236839,8.3558.00559.F,1,0,41.99,41.99,,41,1,0,,1,ROBO DE SOLDA
CTU18,2026-05-21T09:32:59.577,2026-05-21T12:21:10.223,SQO260521083108020,7.2155.02697.P02,7,0,15.14,105.98,90,11.142857142857142,7,0,,1,USINAGEM
CTU02,2026-05-21T09:36:30.023,2026-05-21T11:35:43.58,SQO260521080602973,7.0124.11001.02,15,0,49,735,,7.933333333333334,15,0,,1,USINAGEM
CL11,2026-05-21T09:40:19.63,2026-05-21T10:19:40.18,SQO260521094017476,8.0124.07015.01,25,0,3.81,95.25,,1.56,25,0,,1,CALANDRA
DB35,2026-05-21T09:42:50.323,2026-05-21T11:58:02.657,SQO260521094246842,7.7129.00956.A,17,0,9.42,160.14,,7.9411764705882355,17,0,,1,DOBRADEIRA
MD03,2026-05-21T09:44:15.653,2026-05-21T11:34:15.2,SQO260521094407488,7.6577.01062.01,1,0,110,110,,109,1,0,WOTAN,1,USINAGEM
RB36,2026-05-21T09:46:11.607,2026-05-21T15:06:46.93,SQO260521094601996,8.7129.00519.B,1,0,235,235,78,242,1,0,,1,ROBO DE SOLDA
RB23,2026-05-21T10:04:06.99,2026-05-21T10:51:53.82,SQO260521100404638,7.0124.09717.H06,1,0,38,38,,47,1,0,,1,ROBO DE SOLDA
MD07,2026-05-21T10:05:29.327,2026-05-21T11:45:42.85,SQO260521100526964,8.7800.00253.B,5,0,8,40,0,20,5,0,HELLER,1,USINAGEM
RB51,2026-05-21T10:08:00.3,2026-05-21T10:51:25.74,SQO260521100344445,7.0124.10860.01,1,0,64.27,64.27,,43,1,0,,1,ROBO DE SOLDA
CL11,2026-05-21T10:20:53.293,2026-05-21T11:53:15.267,SQO260521102050549,7.2155.02435.P02,30,0,3.66,109.80000000000001,,3.066666666666667,30,0,,1,CALANDRA
RB34,2026-05-21T10:28:26.003,2026-05-21T11:45:48.753,SQO260521102640967,8.0124.06646.Q07,1,0,95.75,95.75,,77,1,0,,1,ROBO DE SOLDA
CTU16,2026-05-21T10:29:19.867,2026-05-21T12:00:10.48,SQO260521100338938,7.0124.03264.03,30,0,3.17,95.1,,3,30,0,,1,USINAGEM
CTU19,2026-05-21T10:33:49.743,2026-05-21T16:21:59.673,SQO260521101747574,7.7129.01020.E,5,0,60,300,71,55.4,5,0,,1,USINAGEM
